high,low,code,price
30700,16600,000060,23650
23700,12800,000080,18250
19500,10500,000087,15000
24100,13000,000227,18550
21600,11700,000240,16650
24050,12950,000325,18500
23000,12400,000500,17700
48600,26200,000520,37400
30650,16550,000547,23600
24800,13400,000760,19100
35550,19150,000860,27350
40750,21950,000880,31350
27200,14700,000885,20950
23000,12400,000950,17700
49100,26500,000995,37800
49900,26900,001060,38400
35250,19050,001065,27150
24050,12950,001080,18500
23250,12550,001120,17900
30400,16400,001140,23400
18550,10050,001260,14300
27100,14600,001270,20850
25250,13650,001275,19450
19850,10750,001390,15300
27600,14900,001430,21250
39950,21550,001529,30750
29300,15800,001550,22550
35900,19400,001680,27650
29500,15900,001770,22700
26900,14500,001790,20700
30800,16600,001799,23700
25450,13750,001800,19600
19750,10650,001880,15200
35400,19100,002020,27250
19800,10700,002025,15250
20000,10800,002100,15400
29900,16100,002200,23000
21150,11450,002210,16300
29350,15850,002220,22600
34600,18700,002240,26650
37300,20100,002250,28700
25150,13550,002300,19350
40300,21700,002390,31000
18700,10100,002460,14400
32400,17500,002620,24950
39150,21150,002795,30150
21700,11700,002810,16700
29050,15650,002995,22350
23500,12700,003000,18100
18500,10000,003075,14250
26150,14150,003090,20150
22600,12200,003220,17400
48200,26000,003350,37100
42800,23100,003490,32950
31050,16750,003495,23900
28650,15450,003960,22050
19200,10400,004360,14800
19850,10750,004380,15300
24400,13200,004430,18800
20400,11000,004545,15700
49200,26500,004700,37850
24050,12950,004960,18500
19400,10500,004970,14950
19850,10750,005070,15300
18850,10150,005190,14500
32750,17650,005250,25200
22650,12250,005257,17450
18850,10150,005420,14500
18700,10100,005440,14400
23700,12800,005820,18250
30850,16650,005850,23750
28850,15550,005880,22200
48600,26200,005935,37400
18750,10150,005940,14450
21600,11700,005965,16650
36100,19500,006120,27800
21050,11350,006125,16200
42750,23050,007340,32900
48550,26150,007540,37350
37150,20050,007570,28600
25200,13600,007575,19400
43700,23600,008355,33650
35450,19150,008490,27300
24850,13450,008500,19150
42250,22750,009140,32500
44700,24100,009420,34400
26250,14150,009470,20200
46000,24800,009770,35400
29900,16100,009830,23000
31550,17050,010660,24300
45150,24350,010780,34750
36950,19950,011155,28450
33250,17950,011760,25600
46950,25350,011785,36150
46800,25200,011790,36000
21100,11400,011810,16250
41300,22300,012450,31800
25150,13550,012630,19350
32200,17400,013580,24800
32350,17450,014280,24900
43150,23250,014820,33200
29700,16000,014825,22850
38500,20800,015760,29650
47750,25750,016360,36750
46800,25200,016385,36000
24050,12950,016580,18500
45150,24350,016800,34750
20400,11000,019440,15700
49300,26600,020150,37950
30850,16650,023450,23750
29950,16150,023590,23050
18900,10200,024110,14550
47950,25850,024720,36900
25800,13900,026960,19850
49550,26750,027390,38150
21700,11700,028050,16700
24050,12950,028100,18500
20950,11350,029460,16150
46150,24850,029780,35500
32550,17550,030000,25050
36000,19400,030200,27700
19000,10300,032640,14650
18700,10100,033240,14400
35750,19250,033270,27500
35850,19350,034120,27600
28500,15400,034220,21950
38600,20800,034300,29700
28450,15350,034310,21900
38050,20550,034590,29300
41050,22150,035250,31600
38050,20550,042660,29300
30700,16600,044820,23650
24050,12950,047050,18500
47550,25650,047810,36600
46300,25000,051600,35650
31750,17150,052690,24450
24950,13450,055490,19200
26100,14100,058430,20100
30450,16450,063160,23450
31000,16700,064350,23850
40550,21850,066575,31200
22550,12150,068290,17350
29800,16100,069260,22950
38080,20510,069500,29295
38530,20750,069660,29640
30450,16450,071090,23450
20000,10800,078000,15400
49100,26500,078935,37800
27600,14900,079430,21250
45200,24400,079440,34800
47900,25800,079550,36850
41200,22200,081000,31700
35450,19150,084670,27300
29445,15855,091160,22650
19870,10700,091180,15285
29980,16150,091230,23065
34500,18600,093050,26550
29055,15645,099140,22350
37950,20440,102110,29195
25800,13900,102460,19850
39950,21550,103140,30750
38470,20720,105190,29595
38000,20500,105630,29250
38510,20740,108590,29625
41100,22200,108675,31650
47500,25600,111770,36550
50000,26950,112610,38500
29900,16100,114090,23000
25450,13750,115390,19600
23645,12735,117690,18190
28500,15400,120115,21950
25545,13755,122090,19650
18655,10045,131890,14350
23175,12485,138540,17830
28550,15380,139260,21965
19470,10490,139290,14980
29380,15820,140950,22600
44180,23790,143850,33985
45465,24485,143860,34975
39375,21205,145850,30290
49300,26600,145995,37950
29320,15790,147970,22555
38135,20535,148020,29335
38445,20705,152100,29575
21800,11800,152330,16800
38790,20890,152870,29840
29235,15745,153270,22490
28895,15565,159800,22230
25970,13990,168300,19980
30890,16640,168580,23765
23010,12390,169950,17700
22130,11920,174360,17025
42750,23050,180640,32900
44030,23710,183710,33870
30185,16255,185680,23220
38970,20990,192720,29980
19300,10400,194370,14850
19600,10600,195870,15100
28610,15410,200020,22010
19710,10620,200030,15165
20295,10935,200040,15615
19545,10525,203780,15035
43850,23650,204320,33750
23000,12400,210540,17700
38500,20800,210980,29650
42525,22905,211260,32715
20955,11285,211560,16120
20200,10900,213500,15550
33240,17900,217790,25570
40200,21700,226320,30950
29515,15895,226490,22705
26335,14185,227540,20260
29825,16065,227830,22945
19300,10400,227840,14850
31500,17000,234080,24250
29105,15675,237350,22390
40550,21850,241560,31200
40160,10040,243880,25100
19530,10520,245340,15025
38350,20650,248170,29500
28400,15300,249420,21850
20295,10935,260200,15615
29220,15740,261220,22480
20330,10950,261920,15640
31540,16990,265690,24265
20030,10790,266420,15410
32350,17450,267260,24900
46000,24800,267290,35400
32150,17350,272450,24750
23400,12600,272550,18000
19175,10325,275540,14750
29295,15775,277630,22535
22650,12250,281820,17450
38115,20525,293180,29320
33850,18250,293480,26050
42555,22915,294400,32735
29475,15875,302450,22675
29495,15885,305050,22690
19555,10535,306520,15045
19100,10290,310960,14695
20520,11050,315270,15785
18650,10050,316140,14350
19890,10710,500009,15300
